"Minnesota Population Projections by Age and Gender, 2017-2065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State Demographic Center, December 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reissue of August 2015 dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sex,Age,2013**,2014**,2015**,2016**,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
27,Total,24,69695,71159,71531,75935,71688,73726,70198,70534,70765,70496,70773,72318,72138,70939,72446,74353,74070,74113,75381,74937,72659,72987,72940,73459,73159,73696,74303,74756,75042,75240,75334,75416,75497,75597,75718,75864,76056,76259,76480,76732,76994,77252,77513,77782,78042,78303,78554,78798,79027,79244,79414,79553,79655,79719,79774,79832,79894,79952
27,Total,25,70520,70504,72038,72530,75063,72841,74881,71311,71644,71867,71591,71867,73433,73246,72024,73550,75482,75191,75246,76542,76101,73798,74125,74069,74581,74285,74845,75475,75932,76221,76425,76527,76615,76705,76814,76949,77109,77315,77523,77747,78003,78270,78527,78792,79066,79330,79594,79850,80098,80330,80551,80723,80865,80968,81035,81091,81151,81214
27,Total,26,71654,71597,71447,73440,73558,76329,74089,76129,72512,72841,73058,72773,73049,74637,74443,73195,74743,76701,76415,76482,77808,77371,75025,75350,75284,75810,75519,76099,76736,77198,77494,77704,77814,77910,78011,78133,78282,78456,78666,78879,79106,79366,79632,79893,80162,80440,80708,80975,81237,81488,81724,81946,82122,82267,82372,82439,82497,82557
27,Total,27,73879,72308,72237,72349,72340,74171,76968,74722,76760,73119,73445,73660,73369,73645,75245,75047,73786,75344,77329,77054,77132,78481,78039,75671,75995,75944,76485,76206,76788,77429,77899,78204,78424,78544,78652,78766,78902,79066,79245,79461,79678,79910,80170,80441,80707,80981,81264,81537,81808,82075,82330,82571,82798,82977,83125,83235,83305,83366
27,Total,28,76209,74590,72977,73200,73495,72992,74839,77665,75411,77446,73781,74105,74316,74019,74296,75908,75706,74429,76015,78028,77762,77854,79211,78763,76372,76714,76679,77234,76947,77532,78182,78662,78977,79208,79340,79462,79590,79741,79910,80093,80315,80536,80767,81033,81307,81579,81858,82145,82423,82698,82971,83231,83476,83708,83890,84041,84154,84228
27,Total,29,74373,76835,75175,73834,74201,74184,73688,75552,78409,76145,78179,74485,74808,75015,74712,74990,76614,76408,75131,76741,78787,78529,78619,79987,79532,77136,77498,77476,78027,77732,78326,78986,79477,79803,80048,80193,80331,80472,80628,80802,80991,81216,81436,81672,81944,82221,82498,82783,83074,83358,83637,83914,84178,84428,84665,84849,85004,85120
27,Total,30,76092,74610,77036,75649,74772,74668,74644,74153,76029,78907,76637,78669,74958,75279,75482,75177,75455,77087,76892,75618,77251,79323,79060,79151,80526,80087,77691,78074,78049,78599,78302,78905,79577,80080,80420,80679,80840,80994,81139,81299,81479,81673,81897,82123,82364,82639,82923,83205,83495,83791,84081,84364,84646,84916,85170,85412,85599,85757
27,Total,31,76824,76396,74885,77680,76240,75169,75058,75027,74542,76426,79322,77046,79078,75352,75671,75871,75563,75841,77493,77311,76042,77696,79779,79512,79603,81006,80583,78191,78575,78548,79101,78806,79419,80102,80620,80976,81251,81428,81586,81736,81902,82087,82280,82509,82741,82987,83267,83557,83843,84139,84441,84735,85022,85310,85584,85844,86090,86281
27,Total,32,76081,77159,76611,75244,78506,76635,75552,75433,75396,74916,76810,79722,77441,79472,75731,76048,76247,75935,76227,77901,77730,76466,78128,80221,79952,80061,81493,81087,78679,79065,79040,79597,79304,79929,80629,81161,81534,81827,82009,82170,82327,82498,82681,82880,83114,83351,83601,83888,84184,84474,84775,85081,85381,85674,85967,86245,86510,86762
27,Total,33,76238,76334,77347,76959,76122,78676,76800,75710,75587,75548,75071,76968,79886,77606,79633,75887,76204,76401,76102,76407,78098,77941,76671,78338,80436,80186,80316,81773,81365,78951,79343,79323,79887,79603,80241,80956,81505,81895,82194,82381,82549,82710,82881,83069,83273,83514,83756,84011,84304,84604,84900,85208,85519,85824,86123,86421,86704,86974
27,Total,34,71547,76418,76580,77527,77663,76413,78972,77084,75984,75857,75812,75339,77243,80173,77890,79915,76159,76475,76684,76395,76714,78426,78267,76991,78663,80790,80559,80710,82173,81763,79341,79742,79729,80301,80023,80676,81409,81976,82371,82676,82869,83042,83202,83379,83571,83781,84028,84274,84534,84832,85138,85440,85751,86068,86378,86682,86985,87273
27,Total,35,68772,71606,76438,76646,78058,77771,76516,79077,77185,76079,75949,75901,75432,77338,80272,77989,80012,76252,76582,76804,76527,76859,78574,78415,77136,78830,80983,80771,80923,82392,81986,79565,79975,79970,80554,80286,80955,81706,82279,82680,82991,83190,83363,83527,83709,83907,84123,84376,84625,84892,85195,85507,85813,86130,86452,86768,87077,87386
27,Total,36,66686,68591,71530,76432,76971,78045,77757,76501,79059,77166,76060,75928,75879,75411,77316,80251,77971,79990,76246,76588,76823,76560,76892,78608,78449,77189,78905,81079,80870,81022,82499,82101,79687,80106,80114,80710,80456,81140,81898,82477,82884,83200,83400,83577,83748,83934,84140,84360,84618,84873,85146,85453,85771,86082,86405,86732,87055,87368
27,Total,37,64079,66688,68555,71607,76867,77132,78206,77915,76653,79215,77314,76201,76064,76013,75549,77456,80398,78118,80147,76414,76768,77016,76750,77083,78803,78663,77418,79159,81341,81131,81289,82778,82388,79975,80407,80427,81035,80792,81483,82247,82831,83245,83562,83767,83949,84125,84317,84527,84752,85016,85276,85554,85866,86190,86505,86832,87166,87492
27,Total,38,65323,64048,66592,68616,71986,76801,77065,78138,77847,76585,79142,77242,76130,75991,75938,75476,77381,80322,78059,80099,76383,76750,76997,76732,77064,78805,78685,77460,79202,81387,81184,81349,82849,82470,80067,80513,80548,81171,80930,81627,82398,82986,83402,83723,83933,84121,84302,84500,84715,84946,85215,85480,85764,86082,86409,86731,87062,87402
27,Total,39,61955,65185,63937,66592,69213,72126,76950,77212,78285,77992,76724,79283,77377,76258,76114,76057,75600,77507,80469,78221,80271,76564,76930,77175,76909,77262,79026,78925,77696,79445,81642,81444,81619,83133,82765,80367,80828,80877,81501,81260,81964,82741,83329,83750,84078,84293,84486,84671,84875,85094,85329,85604,85875,86163,86486,86817,87144,87481
