Atlanta,Austin,Baltimore,Boston,Calgary,Charlotte,Chicago,Cincinnati,Ciudad de México,Columbus,Dallas,Denver,Dublin,Edmonton,Fort Lauderdale,Hamburg,Honolulu,Houston,Indianapolis,Las Vegas,London,Los Angeles,Louisville,Miami,Miami Beach,Minneapolis,Montréal,München,Naples,Nashville,New Orleans,New York,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Raleigh,San Antonio,San Diego,San Francisco,San Pedro Garza García,Scottsdale,Seattle,Tampa,Toronto,Vancouver,Washington
-96.8,-100.0,-100.0,-100.0,-99.28,-100.0,-99.98,-100.0,-85.6,-100.0,-99.93,-100.0,-100,-98.85,-100.0,-100,-83.12,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-98.56,-99.37,-83.78,-98.59,-99.96,-100.0,-92.76,-100.0,-99.65,-100.0,-100.0,-100.0,-100.0,-99.58,-100.0,-100.0,-93.33,-100.0,-86.32,-100.0,-99.84,-100.0
-99.35,-100.0,-100.0,-100.0,-99.39,-100.0,-100.0,-100.0,-88.83,-100.0,-99.93,-100.0,-100,-99.09,-100.0,-100,-99.46,-99.91,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-99.24,-99.78,-95.68,-100.0,-100.0,-100.0,-97.48,-100.0,-99.85,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.28,-100.0,-94.9,-100.0,-99.94,-100.0
-100.0,-100.0,-100.0,-100.0,-99.7,-100.0,-99.99,-100.0,-93.64,-100.0,-100.0,-100.0,-100,-99.64,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-99.93,-100.0,-99.38,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.8,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.54,-100.0,-100.0,-100.0,-100,-99.77,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-99.32,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.98,-100.0,-96.01,-100.0,-100.0,-100.0,-100,-99.46,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-99.91,-100.0,-100.0,-100.0,-95.58,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.28,-100.0,-100.0,-99.97,-100.0,-100.0,-100.0,-96.32,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.97,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-97.11,-100.0,-100.0,-100.0,-100,-99.7,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.98,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-99.96,-100.0,-100.0,-100.0,-96.79,-100.0,-100.0,-100.0,-100,-99.94,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.94,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-97.1,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.27,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-97.15,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.83,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.84,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.98,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
