date,state,fips,cases,deaths,datetime,rate
2020-02-22,Illinois,17,2,0,2020-02-22,0.15783051228390932
2020-02-22,California,6,9,0,2020-02-22,0.22777761706801464
2020-02-22,Arizona,4,1,0,2020-02-22,0.1373868499077516
2020-02-23,Arizona,4,1,0,2020-02-23,0.1373868499077516
2020-02-23,California,6,9,0,2020-02-23,0.22777761706801464
2020-02-23,Illinois,17,2,0,2020-02-23,0.15783051228390932
2020-02-23,Massachusetts,25,1,0,2020-02-23,0.14389518214468
2020-02-23,Nebraska,31,11,0,2020-02-23,5.6864942659459645
2020-02-23,Texas,48,4,0,2020-02-23,0.13795062822888535
2020-02-23,Washington,53,1,0,2020-02-23,0.13132160885254723
2020-02-23,Wisconsin,55,1,0,2020-02-23,0.1717494779674617
2020-02-24,Wisconsin,55,1,0,2020-02-24,0.1717494779674617
2020-02-24,Washington,53,5,0,2020-02-24,0.6566080442627361
2020-02-24,Texas,48,10,0,2020-02-24,0.3448765705722133
2020-02-24,Nebraska,31,12,0,2020-02-24,6.20344829012287
2020-02-24,Arizona,4,1,0,2020-02-24,0.1373868499077516
2020-02-24,Illinois,17,2,0,2020-02-24,0.15783051228390932
2020-02-24,California,6,11,0,2020-02-24,0.27839486530535124
2020-02-24,Massachusetts,25,1,0,2020-02-24,0.14389518214468
2020-02-25,Arizona,4,1,0,2020-02-25,0.1373868499077516
2020-02-25,California,6,11,0,2020-02-25,0.27839486530535124
2020-02-25,Illinois,17,2,0,2020-02-25,0.15783051228390932
2020-02-25,Massachusetts,25,1,0,2020-02-25,0.14389518214468
2020-02-25,Nebraska,31,13,0,2020-02-25,6.7204023142997755
2020-02-25,Texas,48,10,0,2020-02-25,0.3448765705722133
2020-02-25,Utah,49,1,0,2020-02-25,0.31191924535505455
2020-02-25,Washington,53,5,0,2020-02-25,0.6566080442627361
2020-02-25,Wisconsin,55,1,0,2020-02-25,0.1717494779674617
2020-02-26,Wisconsin,55,1,0,2020-02-26,0.1717494779674617
2020-02-26,Washington,53,5,0,2020-02-26,0.6566080442627361
2020-02-26,Utah,49,1,0,2020-02-26,0.31191924535505455
2020-02-26,Texas,48,10,0,2020-02-26,0.3448765705722133
2020-02-26,Arizona,4,1,0,2020-02-26,0.1373868499077516
2020-02-26,Massachusetts,25,1,0,2020-02-26,0.14389518214468
2020-02-26,Illinois,17,2,0,2020-02-26,0.15783051228390932
2020-02-26,California,6,26,0,2020-02-26,0.6580242270853756
2020-02-26,Nebraska,31,13,0,2020-02-26,6.7204023142997755
2020-02-27,Texas,48,10,0,2020-02-27,0.3448765705722133
2020-02-27,Wisconsin,55,1,0,2020-02-27,0.1717494779674617
2020-02-27,Washington,53,5,0,2020-02-27,0.6566080442627361
2020-02-27,Nebraska,31,13,0,2020-02-27,6.7204023142997755
2020-02-27,Utah,49,1,0,2020-02-27,0.31191924535505455
2020-02-27,Illinois,17,2,0,2020-02-27,0.15783051228390932
2020-02-27,Massachusetts,25,1,0,2020-02-27,0.14389518214468
2020-02-27,California,6,26,0,2020-02-27,0.6580242270853756
2020-02-27,Arizona,4,1,0,2020-02-27,0.1373868499077516
2020-02-28,Wisconsin,55,1,0,2020-02-28,0.1717494779674617
2020-02-28,Washington,53,7,0,2020-02-28,0.9192512619678306
2020-02-28,Utah,49,1,0,2020-02-28,0.31191924535505455
2020-02-28,Texas,48,11,0,2020-02-28,0.37936422762943467
2020-02-28,Oregon,41,1,0,2020-02-28,0.2370939676893083
2020-02-28,Massachusetts,25,1,0,2020-02-28,0.14389518214468
2020-02-28,Illinois,17,2,0,2020-02-28,0.15783051228390932
2020-02-28,California,6,27,0,2020-02-28,0.6833328512040439
2020-02-28,Arizona,4,1,0,2020-02-28,0.1373868499077516
2020-02-28,Nebraska,31,13,0,2020-02-28,6.7204023142997755
2020-02-29,Texas,48,11,0,2020-02-29,0.37936422762943467
2020-02-29,Wisconsin,55,1,0,2020-02-29,0.1717494779674617
2020-02-29,Washington,53,10,1,2020-02-29,1.3132160885254722
2020-02-29,Utah,49,1,0,2020-02-29,0.31191924535505455
2020-02-29,Oregon,41,1,0,2020-02-29,0.2370939676893083
2020-02-29,Arizona,4,1,0,2020-02-29,0.1373868499077516
2020-02-29,Massachusetts,25,1,0,2020-02-29,0.14389518214468
2020-02-29,Illinois,17,3,0,2020-02-29,0.23674576842586398
2020-02-29,California,6,28,0,2020-02-29,0.7086414753227122
2020-02-29,Nebraska,31,13,0,2020-02-29,6.7204023142997755
2020-03-01,Rhode Island,44,2,0,2020-03-01,1.8879305543624882
2020-03-01,Wisconsin,55,1,0,2020-03-01,0.1717494779674617
2020-03-01,Washington,53,17,3,2020-03-01,2.232467350493303
2020-03-01,Utah,49,1,0,2020-03-01,0.31191924535505455
2020-03-01,Texas,48,11,0,2020-03-01,0.37936422762943467
2020-03-01,Oregon,41,2,0,2020-03-01,0.4741879353786166
2020-03-01,Nebraska,31,13,0,2020-03-01,6.7204023142997755
2020-03-01,Massachusetts,25,1,0,2020-03-01,0.14389518214468
2020-03-01,Illinois,17,3,0,2020-03-01,0.23674576842586398
2020-03-01,Florida,12,2,0,2020-03-01,0.09311968015997216
2020-03-01,California,6,33,0,2020-03-01,0.8351845959160537
2020-03-01,Arizona,4,1,0,2020-03-01,0.1373868499077516
2020-03-01,New York,36,1,0,2020-03-01,0.05140447036920387
2020-03-02,New York,36,1,0,2020-03-02,0.05140447036920387
2020-03-02,Wisconsin,55,1,0,2020-03-02,0.1717494779674617
2020-03-02,Washington,53,23,6,2020-03-02,3.0203970036085863
2020-03-02,Utah,49,1,0,2020-03-02,0.31191924535505455
2020-03-02,Texas,48,11,0,2020-03-02,0.37936422762943467
2020-03-02,Rhode Island,44,2,0,2020-03-02,1.8879305543624882
2020-03-02,Oregon,41,2,0,2020-03-02,0.4741879353786166
2020-03-02,Massachusetts,25,2,0,2020-03-02,0.28779036428936
2020-03-02,Nebraska,31,13,0,2020-03-02,6.7204023142997755
2020-03-02,Illinois,17,4,0,2020-03-02,0.31566102456781864
2020-03-02,Georgia,13,2,0,2020-03-02,0.18836962603825805
2020-03-02,Florida,12,2,0,2020-03-02,0.09311968015997216
2020-03-02,California,6,38,0,2020-03-02,0.9617277165093951
2020-03-02,Arizona,4,1,0,2020-03-02,0.1373868499077516
2020-03-02,New Hampshire,33,1,0,2020-03-02,0.735450400857241
2020-03-03,Rhode Island,44,2,0,2020-03-03,1.8879305543624882
2020-03-03,Oregon,41,2,0,2020-03-03,0.4741879353786166
2020-03-03,Texas,48,11,0,2020-03-03,0.37936422762943467
2020-03-03,North Carolina,37,1,0,2020-03-03,0.09534629966731768
2020-03-03,Washington,53,32,10,2020-03-03,4.2022914832815115
